ID,Issue,Location,Severity,Impact,Recommended fix,Effort,Risk,Priority
TD-001,"Superquadric/asphere integration scheme 4 can dereference ksl_rotation before checking CFD implicit coupling pointer","src/fix_nve_asphere_base.cpp:225-315",High,"Crash or undefined behavior for exposed integration_scheme 4 without implicit CFD data","Guard scheme 4 at input/init time; require couple/cfd/force/implicit or disable scheme; add regression test",0.5 PM,Low,P0
TD-002,"Granular shear/contact history requires newton pair off","src/pair_gran.cpp:256-261",High,"Duplicated pair work and larger ghost communication limit strong scaling","Design symmetric history ownership with deterministic reduction and migration; validate against old newton off path",4 PM,Medium,P1
TD-003,"Contact-history lookup during neighbor build is linear in npartner for each candidate pair","src/neigh_gran.cpp:70-198 src/neigh_gran.cpp:485-639",High,"Dense/cohesive systems pay O(candidate pairs * contact degree) metadata cost","Use sorted per-atom partner lists or hash/CSR tag-to-history index rebuilt once per reneighbor",2 PM,Medium,P1
TD-004,"No dynamic load balancing in public build; processor grid is static/uniform","src/comm.cpp:219-344 doc/processors.txt:68-69",High,"Hoppers, piles, insertion streams, and segregation cases become imbalanced across MPI ranks","Add weighted spatial split rebalancer using particle/contact cost and safe migration",5 PM,Medium,P1
TD-005,"Communication uses posted receives plus blocking sends and global collectives in hot paths","src/comm.cpp:901-1229 src/neighbor.cpp:1385-1460 src/irregular.cpp:283-421",High,"Limited overlap and synchronization bottlenecks at scale","Introduce nonblocking exchange phases, delayed waits, neighbor-distance collective throttling, and profiling counters",4 PM,Medium,P1
TD-006,"Particle arrays are pointer-based double** component arrays instead of flat SoA/AoSoA","src/atom.h:81-88 src/atom_vec_sphere.cpp:125-147",High,"Cache/TLB overhead and weak SIMD/GPU portability","Add experimental flat SoA backend behind AtomVec adapter; migrate hot pair/integrate kernels first",6 PM,High,P1
TD-007,"CMake is legacy and dependency discovery is fragile","src/CMakeLists.txt:1-12 src/MAKE/Makefile.auto:349-350",Medium,"Hard-to-reproduce builds and weak CI/container integration","Modernize CMake targets/options/presets; remove automatic downloads from default path",2 PM,Low,P1
TD-008,"No CI/regression/performance test harness found in source snapshot","repository sweep",High,"Performance regressions and physics regressions can pass unnoticed","Add smoke, restart, deterministic, and benchmark tests; publish baseline logs",2 PM,Low,P1
TD-009,"Restart and dump I/O are root-centric or file-per-rank; no scalable self-describing parallel format","src/write_restart.cpp:229-394 doc/write_restart.txt:38-47",Medium,"Large simulations produce bottlenecked or hard-to-manage output","Add HDF5/ADIOS2/XDMF backend with chunked particle/contact/mesh datasets",5 PM,Medium,P2
TD-010,"CFD MPI coupling allocates external arrays by tag_max","src/cfd_datacoupling_mpi.cpp:120-190",Medium,"Sparse or large tags can inflate memory dramatically","Switch to compact local maps with tag-index indirection and sparse exchange",2 PM,Medium,P2
TD-011,"PairGran scans insert/stream/predefined fixes every compute call","src/pair_gran_base.h:229-236",Medium,"Avoidable overhead in tight force loop setup","Cache relevant fixes and invalidate on modify list changes",0.5 PM,Low,P2
TD-012,"Documentation has stale/inconsistent feature claims for superquadric public availability","doc/atom_style.txt:31-32 examples/LIGGGHTS/Tutorials_public/superquadric/in.particle_particle:8",Low,"User confusion and build-support ambiguity","Regenerate docs from active styles and mark optional dependencies accurately",0.5 PM,Low,P3
