Feature/improvement,Scientific value,User value,Technical approach,Main modules affected,Dependencies,Estimated effort,Risk,Validation method,Priority
"Benchmark and profiling harness","Separates measured bottlenecks from hypotheses","Repeatable tuning and release confidence","Add canonical cases, parsers for LIGGGHTS timing, perf/callgrind/mpiP scripts","examples, doc, CI",Python, MPI toolchain,1 PM,Low,"Baseline logs, pass/fail thresholds, trend plots",P0
"Fix asphere scheme 4 guard","Prevents invalid numerical path","Avoids crash-prone input setting","Validate coupling pointer before use and improve error text","fix_nve_asphere_base",None,0.5 PM,Low,"Unit/regression script for scheme 4 without coupling",P0
"Contact-history lookup optimization","Preserves physics while reducing neighbor overhead","Faster dense/cohesive/history simulations","Replace linear partner scan with per-atom sorted map/hash index rebuilt at reneighbor","fix_contact_history, neigh_gran, pair_gran",None,2 PM,Medium,"Identical contact histories and lower neighbor time",P1
"Modern CMake and CI","Improves build reproducibility","Easier install and contribution","Target-based CMake, presets, dependency options, GitHub/GitLab CI template","CMakeLists, MAKE, docs",CMake >= 3.24,2 PM,Low,"Clean builds on Linux/Windows, smoke tests",P1
"Dynamic load balancing","Improves parallel fidelity for heterogeneous flows","Better cluster utilization","Weighted spatial splits based on particles, ghosts, contacts, wall work","comm, domain, neighbor, atom migration",MPI,5 PM,Medium,"Strong scaling with pile/hopper benchmark",P1
"MPI communication overlap","Reduces idle time at scale","Faster multi-node jobs","Nonblocking sends/receives with delayed waits; profile collectives","comm, irregular, neighbor",MPI-3,4 PM,Medium,"mpiP/Score-P reduced wait time",P1
"Flat SoA/AoSoA particle backend","Enables SIMD/GPU readiness","Higher per-core throughput","Adapter-based experimental AtomVec with contiguous fields and kernel migration","atom, atom_vec_sphere, pair_gran, fixes",C++17 optional,6 PM,High,"Pair/integrate bandwidth benchmark and bitwise tolerance tests",P1
"Scalable HDF5/ADIOS2 output","Improves large-run data integrity","Fewer files and easier ParaView/Python workflows","Add dump/restart backends with XDMF metadata","dump, write_restart, read_restart, output",HDF5 or ADIOS2,5 PM,Medium,"Restart round-trip and parallel write scaling",P2
"Python workflow API","Improves reproducibility and automation","Parameter studies and calibration easier","Expose run control, templates, log parsing, material parameter schemas","python, input, docs",pybind11 or ctypes wrapper,4 PM,Medium,"Scripted examples and DOE smoke tests",P2
"Public convex polyhedron geometry","More realistic angular rocks/tablets","Reduces clump approximation burden","Implement open GJK/EPA/SAT-backed convex shape style and wall contact; no proprietary copying","atom_vec, surface_model, neighbor, pair_gran",Open-source geometry lib,8 PM,High,"Single-contact analytic tests and hopper validation",P2
"GPU contact search and force path","Large-scale throughput","Shorter industrial jobs","Port binning/history/contact force to CUDA/HIP/SYCL or Kokkos-like layer","neighbor, pair_gran, atom, comm",GPU toolchain,12 PM,High,"CPU/GPU force parity and scaling benchmarks",P2
"Thermal DEM modernization","Energy-conserving multiphysics","Heat transfer and process simulation","Consolidate heat/gran models and add validated wall/fluid coupling hooks","fix_heat_gran, pair_gran, coupling",Validation data,4 PM,Medium,"Two-sphere conduction and bed heat benchmark",P2
"Breakage/fragmentation framework","Enables comminution and degradation science","Mining/pharma/soil workflows","Energy/stress-triggered replacement using mass/momentum conservation and templates","atom insertion, fix_multisphere, pair_gran, output",Experimental calibration data,10 PM,High,"Impact/drop and sieve distribution validation",P3
"FEM/SPH/DEM co-simulation adapters","Multiphysics structure/fluid coupling","Industrial workflow integration","Partitioned coupling API with conservative load/field exchange","fix coupling, mesh, output",External solvers,12 PM,High,"Canonical FSI and load-transfer cases",P3
